1;47,222279;38,86743;Таганрог;Аптека №3;улица Пархоменко, 7г;отсутствует;88634378805;8;21
2;47,22202065;38,86757799;Таганрог;Юг-Фарма;улица Пархоменко, 5/11;http://yug-farma.ru/;88634431302;8;21
18;47,262091;38,917142;Таганрог;Социальная Аптека;улица Дзержинского, 185;http://social-apteka.ru/;88634602206;8;22
19;47,260539;38,913886;Таганрог;Дешёвая Аптека;улица Москатова, 25;https://www.дешёваяаптека.рф;88634601875;8;20
20;47,21852415;38,9209321;Таганрог;ЛитФарм;улица Фрунзе, 72;отсутствует;88634312244;8;20
36;47,220777;38,889415;Таганрог;Мелодия здоровья;улица Чехова, 269а;отсутствует;отсутствует;8;20
37;47,213459;38,923422;Таганрог;Фармация-Таганрог;улица Александровская, 80;отсутствует;88634669096;-1;-1
38;47,213136;38,91693;Таганрог;Социальная Аптека;Гоголевский переулок, 31;http://social-apteka.ru/;89054255690;7;21
62;47,205514;38,893929;Таганрог;Implozia;улица Свободы, 12;отсутствует;88001001112;8;20
74;47,22210354;38,86037356;Таганрог;Юг-Фарма;улица имени Сергея Шило, 202в;отсутствует;отсутствует;-1;-1
75;47,220797;38,859398;Таганрог;Магнит Аптека;улица имени Сергея Шило, 249;отсутствует;89604478793;9;21
96;47,25262562;38,9170887;Таганрог;Аптека ВИТА Экспресс;улица Дзержинского, 165/7;https://vitaexpress.ru/;88007550003;8;21
97;47,25050261;38,91835944;Таганрог;Аптека Апрель;улица Дзержинского, 154/2а;https://apteka-april.ru/;88002009001;8;20
148;47,23682611;38,91914995;Таганрог;Лада;Парковый переулок, 8;отсутствует;88634621550;8;20
154;47,26248023;38,94257307;Таганрог;Аптека;улица Михайловская, 113;отсутствует;отсутствует;-1;-1
155;47,23490846;38,90145138;Таганрог;Здоровье;улица Ленина, 224;отсутствует;отсутствует;-1;-1
156;47,22860175;38,90835002;Таганрог;Лада;улица Ленина, 159;отсутствует;отсутствует;8;20
